Sample_ID,Ash_Deformation,Ash_Softening,Ash_Fluid,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO
D173510,1980.0,2030.0,2120.0,37.0,21.0,28.0,3.2,0.64,0.46,1.6,0.91,3.1,17500.0,11200.0,19800.0,2310.0,389.0,344.0,1340.0,550.0,1.27,9.9,10.1,9.6,0.05
D173511,2130.0,2180.0,2240.0,28.0,24.0,33.0,3.2,0.3,0.28,0.9,1.2,2.6,9750.0,9460.0,17200.0,1700.0,135.0,154.0,558.0,535.0,1.06,7.3,7.45,7.1,0.016
D173512,2090.0,2140.0,2190.0,25.0,22.0,38.0,2.6,0.3,0.23,0.84,0.9,2.8,9770.0,9740.0,22200.0,1550.0,151.0,143.0,585.0,450.0,1.14,8.2,8.37,8.4,0.024
D173513,2090.0,2140.0,2190.0,28.0,23.0,34.0,3.4,0.34,0.5,1.2,1.3,2.8,11500.0,10700.0,20900.0,2130.0,180.0,325.0,877.0,683.0,1.14,8.6,8.78,9.1,0.042
D173514,2120.0,2170.0,2230.0,24.0,21.0,42.0,2.5,0.33,0.26,0.88,0.96,2.6,11000.0,10900.0,28800.0,1750.0,195.0,189.0,718.0,563.0,1.06,9.6,9.81,9.5,0.13
D173515,2000.0,2050.0,2100.0,30.0,21.0,32.0,2.3,0.55,0.79,1.1,0.78,2.7,13800.0,11000.0,22100.0,1620.0,327.0,577.0,902.0,460.0,1.1,9.7,9.86,9.6,0.04
D173516,2000.0,2050.0,2100.0,37.0,21.0,27.0,2.4,0.7,0.47,1.8,0.87,2.4,21700.0,13900.0,23700.0,2150.0,529.0,437.0,1880.0,652.0,0.979,12.3,12.5,12.3,0.038
D173517,2000.0,2050.0,2100.0,34.0,22.0,31.0,2.5,0.53,0.51,1.2,0.86,2.9,15700.0,11500.0,21400.0,1760.0,315.0,373.0,985.0,507.0,1.18,9.7,9.87,10.4,0.049
D173518,1980.0,2030.0,2080.0,35.0,22.0,27.0,3.0,0.57,0.61,1.4,0.89,2.8,16800.0,12000.0,19400.0,2200.0,353.0,464.0,1200.0,547.0,1.14,10.1,10.3,10.5,0.047
D173519,1970.0,2020.0,2070.0,37.0,21.0,29.0,2.2,0.58,0.53,1.4,0.93,2.5,19200.0,12300.0,22500.0,1740.0,387.0,435.0,1290.0,617.0,1.02,10.9,11.1,11.2,0.042
D173520,1990.0,2040.0,2090.0,33.0,20.0,30.0,4.6,0.59,0.42,1.3,0.8,3.3,14700.0,10100.0,20100.0,3140.0,340.0,298.0,1030.0,457.0,1.34,9.4,9.56,10.1,0.049
D173521,1980.0,2030.0,2080.0,32.0,18.0,37.0,3.4,0.52,0.35,1.2,0.81,2.9,16800.0,10700.0,29000.0,2720.0,351.0,291.0,1120.0,543.0,1.18,11.0,11.2,10.6,0.039
D174477,2040.0,2090.0,2190.0,34.0,24.0,27.0,2.8,0.52,0.48,1.4,0.8,3.1,21300.0,17100.0,25400.0,2690.0,421.0,478.0,1560.0,643.0,1.26,13.2,13.4,8.8,0.015
D174478,2040.0,2090.0,2200.0,30.0,19.0,35.0,3.6,0.48,0.36,1.2,0.72,3.8,14700.0,10500.0,25600.0,2690.0,303.0,279.0,1050.0,451.0,1.55,10.3,10.5,11.0,0.014
D174479,2040.0,2090.0,2140.0,34.0,19.0,33.0,2.7,0.67,0.37,1.7,0.77,2.8,19000.0,12000.0,27600.0,2300.0,482.0,327.0,1690.0,550.0,1.13,11.8,11.9,11.8,0.0055
D174480,2040.0,2090.0,2140.0,37.0,19.0,29.0,2.4,0.84,0.39,2.1,0.76,2.4,15000.0,8700.0,17500.0,1480.0,438.0,250.0,1510.0,393.0,0.977,8.5,8.65,13.1,0.097
D245434,2150.0,2220.0,2440.0,42.4,12.5,5.43,8.87,3.32,3.51,1.63,0.518,16.0,23200.0,7760.0,4450.0,7420.0,2340.0,3050.0,1590.0,363.0,7.09,10.6,11.7,8.22,0.019
D245435,2070.0,2260.0,2440.0,51.1,14.7,6.58,5.04,2.49,4.19,2.48,0.552,8.68,47600.0,15500.0,9160.0,7170.0,2990.0,6170.0,4100.0,657.0,3.82,18.1,19.9,12.88,0.027
D245436,2080.0,2440.0,2520.0,52.9,13.7,5.29,4.66,1.99,5.67,1.49,0.97,7.35,43800.0,12800.0,6560.0,5910.0,2130.0,7450.0,2200.0,1030.0,3.24,16.1,17.8,12.57,0.0074
D246842,2020.0,2090.0,2160.0,28.0,9.07,4.0,14.8,4.15,13.0,0.529,0.502,18.6,7470.0,2740.0,1600.0,6030.0,1430.0,5470.0,251.0,171.0,8.5,5.0,5.7,3.66,0.018
D246843,2140.0,2200.0,2280.0,55.0,17.7,4.72,3.42,2.49,3.65,2.96,0.702,18.6,52000.0,19000.0,6680.0,4940.0,3040.0,5470.0,4980.0,850.0,8.2,18.4,20.3,16.88,0.0082
D246946,2630.0,2750.0,2790.0,45.8,33.5,2.29,7.93,0.764,0.891,0.577,1.72,2.95,66200.0,54800.0,4950.0,17500.0,1420.0,2040.0,1490.0,3190.0,1.3,28.0,30.8,21.26,0.03
D246947,2650.0,2780.0,2800.0,48.4,30.1,3.86,6.33,1.61,0.824,0.673,1.32,5.03,82300.0,57900.0,9830.0,16500.0,3530.0,2220.0,2040.0,2880.0,2.15,34.1,36.5,28.43,0.025
D246948,2160.0,2350.0,2400.0,32.8,16.8,4.0,24.4,1.16,3.11,0.24,0.803,8.38,18500.0,10700.0,3370.0,21000.0,843.0,2770.0,241.0,578.0,3.7,10.9,12.0,7.32,0.14
W184939,2910.0,2910.0,2910.0,54.0,35.0,1.2,0.17,0.0415,0.0284,2.3,1.6,0.1,17700.0,13000.0,588.0,85.1,17.5,14.7,1340.0,671.0,0.042,6.8,7.01,6.8,0.00366
W184940,2910.0,2910.0,2910.0,49.0,33.0,3.6,1.1,0.0797,0.0297,2.6,2.3,1.2,19800.0,15100.0,2180.0,680.0,41.6,19.1,1870.0,1190.0,0.495,8.4,8.66,9.7,0.00656
W184941,2910.0,2910.0,2910.0,48.0,44.0,1.8,0.69,0.0282,0.0135,0.81,1.7,0.29,12900.0,13400.0,727.0,284.0,9.81,5.77,389.0,587.0,0.12,5.6,5.77,5.9,0.00551
W184942,2910.0,2910.0,2910.0,56.0,32.0,3.6,0.29,0.242,0.0567,3.5,1.5,0.31,66600.0,43100.0,6410.0,527.0,372.0,107.0,7420.0,2280.0,0.128,24.7,25.5,23.1,0.0277
W184944,2910.0,2910.0,2910.0,42.0,40.0,3.1,1.5,0.174,0.266,1.9,2.0,0.72,41700.0,44900.0,4600.0,2270.0,223.0,418.0,3360.0,2540.0,0.297,20.6,21.2,11.1,0.00991
W184945,2630.0,2720.0,2780.0,44.0,28.0,2.1,4.0,0.234,0.0999,2.6,2.4,2.4,28400.0,20500.0,2030.0,3950.0,195.0,102.0,2990.0,1980.0,0.99,13.4,13.8,13.2,0.0465
W184949,2910.0,2910.0,2910.0,24.0,20.0,11.0,15.0,0.397,0.0392,1.1,1.1,7.2,14500.0,13600.0,9910.0,13800.0,308.0,37.4,1180.0,848.0,2.97,12.5,12.9,10.4,0.0235
W184950,2910.0,2910.0,2910.0,46.0,30.0,6.4,0.31,0.0481,0.0338,1.9,1.6,0.31,18800.0,13900.0,3920.0,194.0,25.4,21.9,1390.0,838.0,0.128,8.5,8.76,8.1,0.00785
W184951,2910.0,2910.0,2910.0,49.0,35.0,4.0,0.42,0.0531,0.0324,1.4,2.5,0.26,17000.0,13700.0,2080.0,223.0,23.8,17.8,865.0,1110.0,0.107,7.2,7.42,5.8,0.0167
W184952,2430.0,2560.0,2910.0,39.0,34.0,4.4,3.9,0.146,0.0743,1.8,2.2,3.1,16900.0,16700.0,2850.0,2580.0,81.6,51.0,1390.0,1220.0,1.28,9.0,9.28,9.9,0.0263
W184953,2910.0,2910.0,2910.0,42.0,34.0,4.1,1.8,0.078,0.124,1.7,1.9,1.4,17800.0,16300.0,2600.0,1170.0,42.6,83.5,1280.0,1030.0,0.577,8.8,9.07,8.8,0.00892
W184954,2910.0,2910.0,2910.0,48.0,17.0,1.2,0.11,0.0432,0.0203,0.43,1.3,0.1,30100.0,12100.0,1120.0,105.0,34.8,20.1,479.0,1040.0,0.042,13.0,13.4,9.9,0.000698
W184955,2910.0,2910.0,2910.0,50.0,33.0,1.9,0.54,0.0564,0.0446,2.1,2.0,0.15,27000.0,20200.0,1530.0,445.0,39.3,38.1,2020.0,1380.0,0.0619,11.2,11.5,11.1,0.00453
W184958,2730.0,2790.0,2910.0,32.0,21.0,6.8,0.33,0.0299,0.0216,0.85,1.4,0.1,10900.0,8130.0,3480.0,172.0,13.2,11.7,518.0,613.0,0.042,7.1,7.32,7.0,0.0066
W184960,2910.0,2910.0,2910.0,46.0,46.0,2.2,0.3,0.0465,0.0297,2.0,3.1,0.1,22200.0,25100.0,1590.0,221.0,28.9,22.7,1720.0,1910.0,0.042,10.0,10.3,10.6,0.0276
W187010,2580.0,2720.0,2870.0,48.0,23.0,9.7,1.1,0.996,0.513,2.1,1.1,2.0,14000.0,7600.0,4240.0,491.0,375.0,238.0,1090.0,411.0,0.833,6.0,6.25,6.1,0.0104
W187011,2080.0,2130.0,2190.0,28.0,17.0,23.0,5.1,0.747,0.648,1.6,0.77,5.7,11200.0,7680.0,13700.0,3110.0,384.0,410.0,1140.0,393.0,2.38,8.2,8.54,7.5,0.0238
W187014,2910.0,2910.0,2910.0,53.0,33.0,1.6,0.23,0.78,0.203,3.4,2.0,1.4,55500.0,39100.0,2510.0,368.0,1050.0,336.0,6340.0,2680.0,0.583,21.5,22.4,22.1,0.00676
W187015,2910.0,2910.0,2910.0,56.0,31.0,1.2,0.44,0.598,0.257,1.4,1.8,1.1,31900.0,20000.0,1020.0,383.0,439.0,232.0,1420.0,1310.0,0.458,11.7,12.2,10.7,0.00517
W187020,2910.0,2910.0,2910.0,47.0,33.0,7.8,0.31,0.581,0.189,2.0,1.4,0.84,28800.0,22900.0,7160.0,291.0,459.0,184.0,2180.0,1100.0,0.35,12.6,13.1,11.8,0.011
W187021,2250.0,2350.0,2450.0,52.0,25.0,6.6,5.6,1.08,0.338,2.6,1.4,4.0,26800.0,14600.0,5100.0,4410.0,718.0,276.0,2390.0,924.0,1.67,10.6,11.0,10.7,0.0401
W187022,2910.0,2910.0,2910.0,45.0,21.0,3.3,0.29,0.913,0.648,3.8,1.2,0.6,34200.0,18100.0,3750.0,336.0,894.0,780.0,5140.0,1170.0,0.25,15.6,16.3,28.5,0.018
W187024,2910.0,2910.0,2910.0,64.0,28.0,5.4,0.89,0.548,0.257,2.0,2.3,1.6,26800.0,13300.0,3380.0,569.0,296.0,170.0,1490.0,1230.0,0.667,8.6,8.96,8.8,0.00627
W187025,2910.0,2910.0,2910.0,49.0,30.0,2.8,1.7,0.88,0.338,2.0,1.5,1.8,19600.0,13600.0,1670.0,1040.0,453.0,214.0,1420.0,766.0,0.75,8.2,8.54,9.0,0.0166
W187026,2140.0,2190.0,2420.0,45.0,27.0,11.0,1.1,0.996,0.432,3.1,1.4,2.2,18000.0,12200.0,6570.0,671.0,513.0,273.0,2200.0,715.0,0.917,8.2,8.54,9.5,0.0114
W187031,2910.0,2910.0,2910.0,46.0,27.0,11.0,0.61,0.631,0.149,2.3,1.9,1.1,28200.0,18700.0,10100.0,572.0,499.0,144.0,2510.0,1490.0,0.458,12.6,13.1,15.2,0.155
W187033,2460.0,2520.0,2680.0,51.0,22.0,6.8,0.87,1.15,0.351,2.4,1.2,1.2,17400.0,8490.0,3470.0,453.0,503.0,190.0,1460.0,523.0,0.5,7.0,7.29,5.5,0.0158
W187034,2910.0,2910.0,2910.0,57.0,24.0,1.8,0.2,0.747,0.419,2.4,1.6,0.08,44400.0,21200.0,2100.0,238.0,750.0,517.0,3330.0,1590.0,0.0333,16.0,16.7,15.7,0.0068
W187035,2910.0,2910.0,2910.0,50.0,26.0,1.6,0.38,0.73,0.419,2.8,1.2,0.43,28200.0,16600.0,1350.0,328.0,532.0,375.0,2810.0,867.0,0.179,11.6,12.1,8.4,0.0108
W187036,2910.0,2910.0,2910.0,46.0,26.0,3.5,0.5,0.78,0.783,1.8,1.3,0.78,14300.0,9170.0,1630.0,238.0,313.0,387.0,998.0,518.0,0.325,6.4,6.67,6.4,0.00813
W187037,2620.0,2670.0,2720.0,41.0,27.0,4.7,3.4,1.05,0.756,2.4,1.1,4.4,6190.0,4610.0,1060.0,784.0,203.0,181.0,645.0,212.0,1.83,3.1,3.23,3.2,0.0104
W187038,2910.0,2910.0,2910.0,45.0,26.0,2.7,0.97,0.863,0.878,3.8,1.8,1.2,18000.0,11700.0,1610.0,592.0,444.0,555.0,2700.0,919.0,0.5,8.2,8.54,7.2,0.0116
W187039,2840.0,2890.0,2910.0,49.0,25.0,6.8,1.1,0.963,0.243,2.5,1.2,1.6,16000.0,9230.0,3320.0,548.0,405.0,126.0,1450.0,501.0,0.667,6.7,6.98,9.6,0.011
W187040,2680.0,2730.0,2790.0,47.0,28.0,9.0,1.9,1.08,0.351,1.5,1.3,2.9,22900.0,15400.0,6560.0,1410.0,677.0,271.0,1300.0,810.0,1.21,10.0,10.4,9.4,0.0206
W187041,2080.0,2130.0,2180.0,43.0,19.0,7.2,8.0,1.99,0.702,0.54,1.9,7.2,14200.0,7120.0,3570.0,4050.0,850.0,368.0,318.0,805.0,3.0,6.8,7.08,6.4,0.0177
W187043,2250.0,2350.0,2650.0,30.0,31.0,11.0,4.5,1.99,0.648,1.5,1.3,8.7,4670.0,5470.0,2560.0,1070.0,400.0,160.0,416.0,259.0,3.63,3.2,3.33,4.8,0.0833
W187047,2030.0,2080.0,2140.0,27.0,22.0,32.0,1.4,0.332,0.122,0.76,1.0,2.5,15500.0,14300.0,27500.0,1230.0,246.0,111.0,777.0,735.0,1.04,11.8,12.3,16.3,0.00895
W187048,1990.0,2040.0,2090.0,35.0,19.0,24.0,3.9,0.647,0.567,1.5,0.69,3.3,15800.0,9740.0,16300.0,2700.0,378.0,407.0,1210.0,400.0,1.38,9.3,9.69,10.6,0.0194
W187049,2000.0,2050.0,2100.0,28.0,15.0,33.0,1.5,0.498,0.513,1.5,0.56,2.1,18500.0,11200.0,32700.0,1520.0,425.0,538.0,1770.0,474.0,0.875,13.6,14.2,12.4,0.0324
W187053,2700.0,2750.0,2800.0,51.0,28.0,5.2,2.0,0.896,0.297,3.4,1.4,3.0,37200.0,23100.0,5680.0,2230.0,844.0,344.0,4420.0,1310.0,1.25,15.0,15.6,16.4,0.0364
W187055,2450.0,2520.0,2580.0,51.0,27.0,14.0,0.8,0.963,0.23,4.1,1.5,1.4,55600.0,33300.0,22800.0,1330.0,1350.0,397.0,7960.0,2090.0,0.583,22.4,23.3,21.4,0.0159
W187056,2090.0,2140.0,2190.0,38.0,31.0,8.1,1.1,4.98,4.32,2.0,0.86,0.52,7770.0,7170.0,2480.0,344.0,1310.0,1400.0,728.0,225.0,0.217,4.2,4.38,4.0,0.0472
W188856,2620.0,2680.0,2800.0,38.0,24.0,19.0,2.1,0.714,0.608,1.8,1.8,4.3,16800.0,12000.0,12600.0,1420.0,408.0,427.0,1420.0,1020.0,1.79,9.1,9.48,7.8,0.0155
W188861,2470.0,2520.0,2580.0,48.0,22.0,14.0,2.5,0.747,0.243,1.8,1.3,4.4,24800.0,12900.0,10800.0,1970.0,497.0,199.0,1650.0,858.0,1.83,10.6,11.0,9.9,0.289
W188862,2790.0,2910.0,2910.0,52.0,23.0,7.9,0.89,0.764,0.338,2.2,1.5,1.3,32400.0,16200.0,7370.0,847.0,613.0,333.0,2440.0,1200.0,0.542,12.8,13.3,12.2,0.137
W188863,2120.0,2170.0,2470.0,26.0,19.0,41.0,1.9,0.382,0.27,0.48,0.83,3.5,10400.0,8590.0,24500.0,1160.0,196.0,171.0,341.0,424.0,1.46,8.2,8.54,8.1,0.0142
W188864,2100.0,2170.0,2470.0,39.0,20.0,26.0,0.84,0.548,0.257,1.4,1.4,2.0,20300.0,11800.0,20300.0,668.0,368.0,212.0,1300.0,933.0,0.833,10.7,11.1,10.5,0.0168
