SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
49.0,28.1,6.4,2.9,0.515,0.5,2.2,1.2,5.0,11800.0,7660.0,2310.0,1070.0,160.0,191.0,943.0,370.0,2.02,5.1,5.15,5.1,0.0098,2800.0,2800.0,2800.0
57.5,27.8,5.25,0.406,1.31,0.041,3.95,1.18,0.675,44100.0,24200.0,6020.0,476.0,1300.0,50.0,5400.0,1160.0,0.272,16.3,16.4,15.46,0.0071,2520.0,2640.0,2700.0
51.6,22.2,18.3,0.322,0.863,0.257,3.65,0.953,1.2,50500.0,24600.0,26800.0,481.0,1090.0,397.0,6360.0,1190.0,0.495,20.3,20.9,19.56,0.0086,2200.0,2270.0,2460.0
53.3,33.2,2.67,1.12,0.658,0.383,2.55,1.33,1.56,23900.0,16300.0,1810.0,684.0,388.0,240.0,2110.0,762.0,0.633,9.33,9.48,8.5,0.0503,2910.0,2910.0,2910.0
32.6,16.1,39.1,2.06,0.564,0.405,1.7,0.72,3.12,36200.0,20200.0,64900.0,3490.0,808.0,713.0,3360.0,1020.0,1.3,22.8,23.8,21.88,0.0073,1923.0,1989.0,2288.0
19.5,12.3,63.6,2.55,0.398,0.419,0.601,0.635,4.25,4680.0,3330.0,22800.0,932.0,123.0,159.0,256.0,195.0,1.74,5.0,5.12,4.8,0.016,2100.0,2210.0,2300.0
46.7,27.5,13.7,0.43,0.847,0.203,2.6,1.5,0.76,65600.0,43700.0,28800.0,923.0,1530.0,451.0,6500.0,2700.0,0.308,29.7,30.1,29.3,0.007,2560.0,2655.0,2745.0
47.7,31.2,6.84,2.17,1.16,0.23,2.91,1.17,3.75,35100.0,26000.0,7520.0,2440.0,1100.0,268.0,3810.0,1100.0,1.55,15.2,15.7,15.7,0.0076,2800.0,2800.0,2800.0
59.7,30.7,1.9,1.5,0.73,0.905,1.0,2.4,1.9,29400.0,17100.0,1400.0,1130.0,463.0,705.0,875.0,1510.0,0.792,10.1,10.5,9.2,0.0081,2910.0,2910.0,2910.0
32.1,18.3,39.2,2.2,0.548,0.27,1.69,0.819,2.17,10700.0,6910.0,19600.0,1120.0,236.0,143.0,1010.0,351.0,0.877,7.1,7.16,7.0,0.01,1950.0,2110.0,2240.0
29.1,19.7,33.2,5.06,0.863,0.635,1.06,0.92,8.3,5740.0,4390.0,9810.0,1520.0,220.0,198.0,372.0,232.0,3.42,4.1,4.22,3.9,0.046,2070.0,2160.0,2270.0
43.6,26.1,22.5,1.22,0.847,0.162,1.81,0.94,1.57,13300.0,9030.0,10300.0,569.0,333.0,78.4,984.0,367.0,0.673,6.1,6.51,5.4,0.016,2150.0,2300.0,2520.0
44.5,23.2,23.1,1.35,0.707,0.284,1.56,1.17,2.26,27600.0,15900.0,23200.0,1220.0,580.0,273.0,1790.0,905.0,0.925,13.1,13.4,12.23,0.0148,2135.0,2238.0,2335.0
44.0,21.4,24.6,1.67,0.896,0.5,1.79,1.29,2.38,31300.0,17200.0,26200.0,1810.0,822.0,563.0,2270.0,1170.0,0.984,14.7,15.2,13.19,0.014,2120.0,2210.0,2280.0
62.9,23.6,3.58,1.05,1.13,0.311,3.19,1.59,1.23,36800.0,15700.0,3130.0,940.0,852.0,288.0,3320.0,1190.0,0.507,12.1,12.5,10.32,0.0098,2430.0,2760.0,2800.0
48.8,33.4,2.8,0.5,0.896,1.35,3.6,0.9,1.7,22600.0,17500.0,1940.0,353.0,534.0,990.0,2960.0,533.0,0.708,9.5,9.9,11.8,0.007,2800.0,2800.0,2800.0
48.7,28.4,13.2,1.2,0.498,0.122,1.11,2.04,1.73,17000.0,11200.0,6880.0,642.0,224.0,67.2,687.0,911.0,0.706,7.3,7.47,7.5,0.074,2700.0,2780.0,2800.0
40.2,28.7,24.3,0.61,0.498,0.176,2.09,0.93,1.08,26600.0,21500.0,24100.0,618.0,426.0,184.0,2470.0,789.0,0.444,13.8,14.2,13.5,0.0067,2510.0,2620.0,2710.0
43.0,32.1,12.2,0.84,1.11,0.783,3.59,1.19,1.7,11600.0,9760.0,4900.0,345.0,385.0,333.0,1720.0,408.0,0.686,5.7,5.75,5.5,0.0083,2650.0,2750.0,2800.0
57.4,26.5,5.43,0.714,1.1,0.419,3.76,1.52,0.9,41600.0,21700.0,5890.0,790.0,1020.0,480.0,4850.0,1410.0,0.365,15.3,15.5,16.18,0.0057,2620.0,2710.0,2790.0
9.76,4.93,63.9,4.05,0.448,0.23,0.445,0.301,3.65,3710.0,2120.0,36400.0,2350.0,220.0,138.0,301.0,147.0,1.49,8.0,8.14,7.94,0.03,2020.0,2160.0,2230.0
42.2,29.6,17.7,1.5,0.764,0.203,1.35,1.44,1.9,19700.0,15700.0,12400.0,1070.0,461.0,150.0,1120.0,861.0,0.777,9.8,10.0,9.4,0.044,2640.0,2720.0,2780.0
50.5,24.6,15.0,1.08,0.963,0.324,2.91,1.19,1.25,50400.0,27800.0,22400.0,1650.0,1240.0,513.0,5170.0,1520.0,0.521,20.5,21.4,3.16,0.0093,2000.0,2150.0,2210.0
48.6,28.7,13.0,0.6,1.56,1.05,3.1,1.1,1.9,40000.0,26700.0,16000.0,754.0,1650.0,1370.0,4540.0,1160.0,0.792,16.9,17.6,13.8,0.012,2520.0,2615.0,2680.0
29.5,18.9,32.1,4.02,1.13,0.419,1.05,1.07,4.7,5210.0,3780.0,8500.0,1090.0,257.0,117.0,329.0,242.0,1.92,3.7,3.78,3.5,0.031,1920.0,2010.0,2090.0
20.7,12.8,56.1,1.26,0.249,0.284,0.349,0.385,1.5,7780.0,5440.0,31500.0,724.0,121.0,169.0,233.0,185.0,0.627,7.7,8.07,7.55,0.028,2010.0,2090.0,2180.0
20.6,14.8,21.6,16.3,0.647,0.297,0.96,1.0,14.4,3810.0,3100.0,5980.0,4610.0,154.0,87.1,316.0,237.0,5.85,3.9,3.96,3.3,0.014,1955.0,2060.0,2160.0
44.7,18.3,27.3,0.784,1.13,0.324,2.67,1.05,0.875,24600.0,11400.0,22500.0,659.0,800.0,282.0,2610.0,742.0,0.355,11.6,11.8,9.32,0.0071,2000.0,2090.0,2290.0
48.8,29.1,6.39,4.34,0.531,0.135,1.32,1.59,1.55,18500.0,12500.0,3640.0,2520.0,260.0,81.3,895.0,773.0,0.63,8.0,8.13,7.48,0.0072,2590.0,2680.0,2740.0
45.5,36.9,6.13,2.84,0.747,0.122,1.05,0.87,2.93,7150.0,6580.0,1440.0,684.0,152.0,30.3,293.0,175.0,1.19,3.3,3.37,3.0,0.035,2800.0,2800.0,2800.0
50.1,22.9,13.3,1.58,1.33,0.459,3.47,1.19,3.0,39900.0,20600.0,15800.0,1930.0,1360.0,580.0,4930.0,1210.0,1.22,16.7,17.0,14.6,0.026,2300.0,2390.0,2540.0
31.7,13.4,22.8,14.2,0.764,0.203,1.97,0.401,9.25,35000.0,16800.0,37700.0,24100.0,1090.0,355.0,3880.0,568.0,3.74,23.4,23.7,20.9,0.027,1810.0,1900.0,2000.0
38.3,26.1,25.7,0.49,0.73,0.135,3.49,1.04,1.38,68900.0,53000.0,69100.0,1350.0,1690.0,384.0,11100.0,2380.0,0.565,37.4,38.4,30.95,0.0052,2180.0,2240.0,2480.0
55.5,27.9,4.4,0.92,0.664,0.243,2.2,1.7,0.6,43200.0,24600.0,5120.0,1090.0,666.0,300.0,3050.0,1690.0,0.242,16.5,16.7,16.1,0.0059,2800.0,2800.0,2800.0
48.0,29.3,15.3,0.87,0.531,0.405,1.86,1.63,1.15,32000.0,22100.0,15300.0,886.0,457.0,428.0,2210.0,1390.0,0.479,13.7,14.3,12.37,0.0056,2351.0,2399.0,2517.0
39.8,26.1,26.9,1.37,0.498,1.07,1.83,1.25,1.43,17900.0,13300.0,18200.0,947.0,290.0,763.0,1470.0,724.0,0.573,9.6,9.66,9.8,0.0034,2010.0,2080.0,2210.0
44.8,21.0,19.3,3.42,1.29,0.513,2.45,1.19,2.38,35200.0,18600.0,22700.0,4100.0,1310.0,638.0,3420.0,1190.0,0.961,16.6,16.8,15.9,0.018,2050.0,2160.0,2250.0
32.5,20.9,38.8,1.64,0.913,0.203,1.03,0.786,2.03,17000.0,12400.0,30400.0,1310.0,616.0,168.0,958.0,526.0,0.817,11.1,11.2,10.81,0.025,1970.0,2070.0,2380.0
25.9,14.7,43.5,3.78,0.498,0.311,1.27,0.602,2.9,23800.0,15300.0,59800.0,5310.0,590.0,453.0,2090.0,708.0,1.17,19.5,19.7,20.0,0.016,1890.0,2010.0,2100.0
52.2,29.7,7.87,1.58,0.448,1.32,0.998,2.07,1.85,8110.0,5220.0,1830.0,376.0,89.8,326.0,276.0,412.0,0.746,3.3,3.32,3.32,0.0066,2640.0,2740.0,2800.0
53.5,30.3,7.68,1.22,0.515,0.608,1.5,1.61,1.18,29200.0,18700.0,6270.0,1020.0,362.0,526.0,1460.0,1120.0,0.473,11.6,11.7,10.75,0.0067,2600.0,2790.0,2800.0
41.9,15.9,34.2,0.434,0.448,0.189,1.26,2.19,0.7,40100.0,17100.0,48800.0,634.0,552.0,286.0,2150.0,2680.0,0.282,20.3,20.4,18.12,0.0038,1980.0,2030.0,2370.0
39.4,11.5,38.5,1.12,1.41,0.554,1.59,0.635,1.68,21300.0,7010.0,31100.0,925.0,983.0,474.0,1530.0,439.0,0.68,11.4,11.6,11.15,0.034,1990.0,2100.0,2130.0
29.6,18.6,45.1,1.6,0.548,0.297,1.08,0.753,3.43,10200.0,7280.0,23300.0,844.0,244.0,163.0,666.0,333.0,1.41,7.2,7.41,6.8,0.022,2130.0,2250.0,2350.0
18.0,12.3,58.5,2.13,0.116,0.23,0.216,0.201,2.35,24300.0,18800.0,118000.0,4390.0,202.0,491.0,520.0,347.0,0.96,28.3,28.9,27.08,0.043,2010.0,2040.0,2150.0
30.0,11.8,30.2,6.61,0.249,0.243,1.21,0.635,11.6,20200.0,8990.0,30400.0,6800.0,216.0,259.0,1450.0,547.0,4.72,14.2,14.4,14.1,0.11,1940.0,2040.0,2130.0
51.1,25.0,16.8,0.49,0.764,0.297,2.28,1.29,0.025,46800.0,25900.0,23000.0,686.0,901.0,431.0,3720.0,1510.0,0.011,19.3,19.6,21.1,0.0087,2390.0,2480.0,2580.0
48.7,18.0,1.06,11.2,1.08,0.608,0.409,0.87,17.0,59600.0,24900.0,1950.0,21000.0,1700.0,1180.0,890.0,1360.0,9.18,19.4,26.2,15.17,0.14,2280.0,2360.0,2430.0
48.4,29.9,7.72,1.99,1.06,0.27,2.2,1.02,2.45,17100.0,11900.0,4080.0,1070.0,484.0,151.0,1380.0,461.0,1.0,7.4,7.56,6.85,0.01,2590.0,2670.0,2800.0
34.9,28.5,19.2,3.52,0.697,0.189,0.829,1.1,4.75,9860.0,9130.0,8100.0,1520.0,254.0,84.7,417.0,399.0,1.95,5.9,6.05,13.3,0.0078,2470.0,2560.0,2650.0
43.3,17.4,28.2,2.48,0.697,0.351,1.87,0.82,3.57,21100.0,9580.0,20500.0,1840.0,437.0,270.0,1620.0,510.0,1.47,10.1,10.4,8.5,0.018,2155.0,2260.0,2355.0
37.5,19.8,34.2,0.994,0.93,0.351,2.55,0.803,1.48,14500.0,8680.0,19800.0,587.0,463.0,215.0,1750.0,397.0,0.595,8.2,8.27,8.16,0.017,2060.0,2090.0,2170.0
29.2,22.7,42.1,0.73,0.249,0.0878,0.6,0.5,1.3,17400.0,15300.0,37500.0,665.0,191.0,82.9,636.0,381.0,0.535,12.4,12.8,13.1,0.0072,2100.0,2210.0,2300.0
41.8,32.3,19.5,0.7,0.299,0.176,1.29,1.59,1.18,33600.0,29400.0,23400.0,859.0,309.0,223.0,1840.0,1630.0,0.472,17.1,17.2,16.93,0.0054,2660.0,2720.0,2770.0
33.8,18.3,41.9,0.7,0.315,0.081,1.05,0.769,0.775,33100.0,20300.0,61300.0,1050.0,398.0,126.0,1820.0,962.0,0.318,20.4,20.9,17.28,0.04,1980.0,2040.0,2160.0
45.2,25.4,19.6,0.854,0.531,0.284,1.42,1.04,1.13,12700.0,8090.0,8270.0,367.0,193.0,126.0,710.0,374.0,0.459,5.9,6.02,5.48,0.01,2500.0,2610.0,2660.0
58.0,28.9,4.0,0.882,0.647,0.432,1.18,1.87,0.675,20200.0,11400.0,2090.0,470.0,291.0,239.0,731.0,835.0,0.272,7.4,7.45,7.11,0.0059,2620.0,2800.0,2800.0
41.1,18.8,27.2,2.09,1.13,0.27,2.33,0.87,1.33,42800.0,22100.0,42400.0,3320.0,1520.0,446.0,4330.0,1160.0,0.54,21.9,22.3,18.72,0.03,2120.0,2150.0,2280.0
35.2,14.1,40.0,2.34,0.813,0.608,1.9,0.686,3.25,43400.0,19800.0,73900.0,4410.0,1290.0,1190.0,4170.0,1080.0,1.32,26.1,26.4,25.9,0.012,1930.0,2020.0,2100.0
36.0,19.5,36.3,1.1,0.382,0.311,1.17,1.05,1.2,22300.0,13700.0,33700.0,1040.0,305.0,305.0,1290.0,836.0,0.502,12.7,13.3,11.01,0.0093,2070.0,2160.0,2280.0
47.3,26.8,17.0,0.938,0.481,0.27,1.67,1.39,0.025,33100.0,21300.0,17800.0,1000.0,435.0,300.0,2080.0,1240.0,0.011,14.8,15.0,14.3,0.01,2490.0,2580.0,2670.0
48.7,31.0,9.87,1.4,0.896,0.365,2.46,1.66,2.0,22700.0,16300.0,6870.0,996.0,538.0,269.0,2040.0,986.0,0.813,9.8,9.96,10.16,0.0051,2630.0,2800.0,2800.0
45.2,18.7,24.8,1.54,1.11,0.5,2.86,0.936,1.48,54800.0,25800.0,45100.0,2860.0,1740.0,962.0,6180.0,1460.0,0.597,25.7,26.0,23.6,0.018,2020.0,2110.0,2230.0
28.2,20.1,13.9,13.9,0.946,0.243,1.84,0.753,8.48,5760.0,4650.0,4240.0,4360.0,250.0,78.8,670.0,197.0,3.45,4.3,4.38,3.9,0.063,2110.0,2200.0,2270.0
45.4,24.0,22.9,1.12,0.332,0.189,1.23,1.35,1.5,31900.0,19100.0,24200.0,1210.0,301.0,211.0,1540.0,1220.0,0.607,14.9,15.1,15.5,0.011,2250.0,2360.0,2470.0
52.2,27.0,14.5,0.504,0.548,0.131,1.75,2.14,0.8,47100.0,27500.0,19600.0,695.0,637.0,187.0,2820.0,2470.0,0.325,19.0,19.3,19.3,0.0061,2500.0,2620.0,2710.0
56.1,22.3,12.2,0.686,0.465,0.189,1.68,1.59,0.875,65400.0,29500.0,21200.0,1220.0,699.0,349.0,3490.0,2370.0,0.36,24.3,25.0,20.6,0.0046,2300.0,2420.0,2450.0
46.9,26.8,18.0,0.84,0.581,0.311,1.89,1.71,1.0,18500.0,12000.0,10700.0,508.0,296.0,195.0,1330.0,864.0,0.408,8.3,8.47,8.12,0.003,2610.0,2680.0,2750.0
37.0,22.6,29.4,1.76,0.398,0.324,0.745,2.11,2.42,13400.0,9280.0,15900.0,977.0,186.0,186.0,481.0,977.0,0.977,7.7,7.76,7.74,0.015,2520.0,2540.0,2620.0
54.4,25.1,9.19,0.896,0.548,0.284,1.97,1.25,1.0,16500.0,8650.0,4180.0,416.0,215.0,137.0,1070.0,488.0,0.407,6.4,6.5,6.3,0.0052,2620.0,2710.0,2800.0
46.0,27.0,9.5,0.95,0.797,0.257,2.1,1.3,1.7,26200.0,17400.0,8100.0,827.0,585.0,232.0,2130.0,947.0,0.708,11.7,12.2,13.8,0.0093,2720.0,2760.0,2800.0
49.3,19.3,14.5,1.8,0.83,0.351,2.5,1.2,2.5,28500.0,12700.0,12600.0,1590.0,620.0,322.0,2580.0,889.0,1.02,12.1,12.4,11.1,0.02,2255.0,2355.0,2460.0
39.4,24.9,7.1,6.4,1.58,0.189,0.68,1.9,10.1,2620.0,1870.0,706.0,650.0,135.0,19.9,80.5,162.0,4.11,1.4,1.42,1.6,0.027,2545.0,2620.0,2700.0
38.3,22.6,27.6,1.42,0.515,0.176,1.54,0.91,2.26,12500.0,8330.0,13500.0,708.0,216.0,90.7,894.0,380.0,0.942,6.7,6.98,7.6,0.015,2050.0,2150.0,2330.0
49.8,32.4,7.88,0.56,1.64,0.108,3.57,1.28,1.13,20400.0,15000.0,4820.0,350.0,866.0,70.0,2600.0,669.0,0.453,8.7,8.75,8.66,0.016,2600.0,2660.0,2730.0
59.7,17.6,2.57,8.74,1.51,0.189,0.877,1.0,4.08,84300.0,28100.0,5440.0,18800.0,2750.0,423.0,2210.0,1810.0,1.75,28.2,30.1,17.85,0.061,2270.0,2350.0,2440.0
55.7,33.9,2.04,1.04,0.515,1.16,0.349,1.16,1.1,51900.0,35800.0,2850.0,1480.0,619.0,1720.0,579.0,1390.0,0.455,19.3,20.0,18.04,0.005,2800.0,2800.0,2800.0
45.8,33.5,2.29,7.93,0.764,0.891,0.577,1.72,2.95,66200.0,54800.0,4950.0,17500.0,1420.0,2040.0,1490.0,3190.0,1.3,28.0,30.8,21.26,0.03,2630.0,2750.0,2790.0
28.9,19.2,43.2,1.77,0.295,0.12,0.614,0.747,3.22,15900.0,10700.0,29900.0,1230.0,208.0,98.2,689.0,577.0,1.3,10.4,10.6,11.86,0.0138,2135.0,2185.0,2304.0
44.2,21.1,24.4,0.64,0.979,0.365,2.6,0.83,1.28,44300.0,23900.0,36600.0,979.0,1260.0,579.0,4640.0,1060.0,0.522,21.0,21.4,21.2,0.013,2140.0,2170.0,2200.0
40.3,24.2,18.8,0.56,0.946,0.127,3.0,0.95,1.0,33100.0,22500.0,23100.0,703.0,1000.0,165.0,4390.0,999.0,0.414,17.0,17.6,16.5,0.012,2165.0,2270.0,2365.0
29.1,23.6,42.1,1.43,0.415,0.0675,1.16,0.93,2.65,12200.0,11200.0,26400.0,915.0,224.0,44.8,865.0,498.0,1.1,8.6,8.96,8.01,0.014,2037.0,2177.0,2467.0
37.7,26.3,22.3,1.51,0.847,0.324,2.67,0.87,1.7,8920.0,7050.0,7910.0,548.0,259.0,122.0,1130.0,264.0,0.69,5.0,5.07,4.43,0.0076,2530.0,2620.0,2650.0
31.5,20.9,40.5,0.924,0.581,0.135,1.92,0.97,1.45,19000.0,14200.0,36500.0,850.0,451.0,129.0,2060.0,747.0,0.584,12.8,12.9,12.4,0.013,2020.0,2120.0,2240.0
38.3,27.4,22.4,1.12,0.781,0.268,2.08,1.1,1.58,26600.0,21400.0,26600.0,1010.0,677.0,287.0,2520.0,1030.0,0.656,14.7,15.3,12.05,0.0263,2300.0,2426.0,2686.0
20.8,16.8,20.6,16.5,4.35,0.142,0.645,0.583,10.9,8310.0,9200.0,4770.0,4680.0,877.0,78.9,391.0,356.0,4.65,5.78,6.13,4.94,0.12,2258.0,2348.0,2365.0
53.5,31.0,6.92,1.02,0.415,0.128,1.26,2.42,0.55,39800.0,26100.0,7700.0,1160.0,398.0,151.0,1670.0,2310.0,0.226,15.5,15.9,14.95,0.0054,2740.0,2800.0,2800.0
40.2,21.7,19.6,2.2,0.764,0.311,1.8,1.3,2.7,18300.0,11200.0,13400.0,1530.0,448.0,224.0,1460.0,758.0,1.1,9.6,9.75,8.7,0.026,2105.0,2210.0,2350.0
32.5,25.1,30.3,0.952,0.664,0.257,2.56,0.87,1.6,13100.0,11400.0,18200.0,585.0,344.0,163.0,1830.0,447.0,0.648,8.5,8.6,6.91,0.0089,2140.0,2300.0,2520.0
34.8,18.3,39.3,0.924,0.714,0.135,2.01,0.786,1.1,12300.0,7310.0,20700.0,498.0,325.0,75.5,1260.0,355.0,0.449,7.4,7.55,7.3,0.024,1910.0,2000.0,2100.0
50.1,34.2,3.43,1.37,0.664,0.702,1.8,1.56,1.68,17700.0,13700.0,1810.0,739.0,302.0,392.0,1130.0,702.0,0.674,7.5,7.54,7.72,0.0049,2800.0,2800.0,2800.0
45.0,29.9,4.35,6.55,1.36,0.225,0.479,0.983,6.4,21300.0,13500.0,1880.0,2580.0,521.0,175.0,489.0,488.0,2.66,8.35,8.66,7.75,0.00757,2565.0,2601.0,2691.0
47.1,20.6,19.6,0.798,0.581,0.257,1.3,1.51,1.25,25700.0,12700.0,16000.0,665.0,409.0,222.0,1260.0,1050.0,0.503,11.6,11.7,11.12,0.012,2180.0,2370.0,2420.0
46.0,18.4,25.7,0.69,0.697,0.124,2.0,1.2,1.3,17300.0,7820.0,14400.0,396.0,337.0,73.8,1330.0,577.0,0.543,7.7,8.03,15.0,0.0232,2055.0,2165.0,2250.0
49.9,26.8,4.76,5.48,1.16,0.54,2.26,1.54,2.9,37700.0,23000.0,5390.0,6330.0,1130.0,648.0,3040.0,1490.0,1.17,16.0,16.2,18.9,0.021,2550.0,2650.0,2750.0
24.9,13.7,53.3,0.924,0.531,0.176,1.17,0.585,1.88,17700.0,11000.0,56600.0,1000.0,486.0,197.0,1470.0,532.0,0.775,14.7,15.2,13.6,0.027,2010.0,2100.0,2180.0
41.3,20.2,25.7,3.24,0.365,0.432,1.48,1.2,1.2,23800.0,13200.0,22200.0,2840.0,271.0,394.0,1510.0,886.0,0.492,12.0,12.3,10.78,0.026,2090.0,2130.0,2210.0
52.2,31.3,2.81,1.01,1.05,0.513,3.34,1.23,0.97,19900.0,13500.0,1600.0,588.0,513.0,310.0,2260.0,599.0,0.39,8.1,8.15,7.4,0.0087,2800.0,2800.0,2800.0
21.3,16.5,50.4,2.44,0.481,0.554,0.541,0.669,3.5,3920.0,3450.0,13900.0,686.0,114.0,162.0,177.0,158.0,1.42,3.9,3.94,3.1,0.014,2100.0,2210.0,2320.0
35.5,19.4,36.4,1.07,0.598,0.311,1.85,0.853,1.18,13300.0,8230.0,20400.0,612.0,289.0,184.0,1230.0,409.0,0.477,7.9,8.02,8.03,0.019,2040.0,2090.0,2240.0
