SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
20.3,8.9,33.3,13.7,0.0232,0.149,0.33,0.37,14.9,14700.0,7320.0,36200.0,15200.0,21.8,171.0,427.0,344.0,6.05,15.3,15.5,12.9,0.069,2000.0,2100.0,2200.0
56.7,16.8,9.15,4.64,0.647,0.216,0.397,2.24,5.8,50400.0,16900.0,12200.0,6290.0,741.0,304.0,627.0,2550.0,2.55,17.3,19.0,15.66,0.031,2270.0,2300.0,2380.0
33.0,16.3,22.3,11.5,0.85,0.67,1.71,0.711,4.39,18800.0,10500.0,19600.0,9000.0,645.0,595.0,1800.0,519.0,1.8,11.8,12.0,9.89,0.0898,2053.0,2125.0,2259.0
40.4,26.4,13.5,6.37,0.88,0.392,0.52,1.13,9.69,7690.0,5690.0,3860.0,1850.0,216.0,118.0,176.0,276.0,3.95,4.0,4.08,3.8,0.026,2410.0,2460.0,2780.0
46.2,18.1,15.9,6.26,1.24,0.23,2.58,0.92,2.23,26600.0,11800.0,13700.0,5500.0,923.0,209.0,2650.0,677.0,0.928,11.8,12.3,11.62,0.034,2010.0,2080.0,2130.0
48.4,23.3,16.0,1.3,0.631,0.27,1.77,0.97,1.25,27800.0,15100.0,13700.0,1140.0,467.0,246.0,1810.0,713.0,0.504,12.2,12.3,11.9,0.02,2260.0,2350.0,2450.0
28.7,16.0,43.4,1.78,0.349,0.176,1.03,0.67,1.86,16700.0,10600.0,37900.0,1590.0,263.0,163.0,1070.0,501.0,0.775,12.0,12.5,10.3,0.022,2020.0,2102.0,2250.0
54.6,24.6,6.92,3.33,1.33,0.513,3.03,1.17,2.05,49900.0,25400.0,9460.0,4650.0,1560.0,743.0,4930.0,1370.0,0.831,19.3,19.6,17.8,0.023,2300.0,2420.0,2540.0
54.2,36.1,1.8,1.2,0.764,0.284,2.0,2.1,1.0,63600.0,47900.0,3160.0,2150.0,1150.0,527.0,4180.0,3150.0,0.417,24.1,25.1,19.3,0.011,2910.0,2910.0,2910.0
25.9,16.1,48.4,2.55,0.548,0.662,0.721,0.702,3.65,5860.0,4120.0,16400.0,882.0,160.0,237.0,291.0,203.0,1.5,4.7,4.84,4.3,0.04,1970.0,2070.0,2160.0
62.3,30.4,1.29,0.308,0.681,0.608,1.65,0.97,0.475,74800.0,41400.0,2310.0,565.0,1050.0,1160.0,3520.0,1490.0,0.192,25.4,25.7,23.03,0.0038,2800.0,2800.0,2800.0
24.8,17.1,49.8,0.896,0.249,0.23,0.493,0.719,1.27,9410.0,7320.0,28200.0,519.0,122.0,138.0,333.0,349.0,0.517,8.0,8.11,7.33,0.006,2010.0,2110.0,2190.0
38.5,14.5,35.3,0.881,0.631,0.311,2.0,1.0,1.2,20400.0,8700.0,28000.0,714.0,431.0,261.0,1880.0,681.0,0.496,11.0,11.3,10.3,0.0232,2065.0,2160.0,2250.0
55.4,31.9,3.43,1.11,0.631,0.162,1.56,2.34,1.02,35600.0,23200.0,3300.0,1090.0,522.0,165.0,1790.0,1920.0,0.417,13.5,13.7,12.93,0.0046,2660.0,2740.0,2790.0
39.4,18.3,32.7,1.26,0.432,0.392,1.97,1.99,1.93,24500.0,12900.0,30500.0,1200.0,347.0,387.0,2190.0,1590.0,0.778,13.2,13.3,12.8,0.011,2020.0,2080.0,2140.0
37.5,30.6,21.9,2.13,0.564,1.13,1.37,1.26,3.68,13800.0,12700.0,12000.0,1190.0,267.0,660.0,895.0,593.0,1.5,7.7,7.85,6.92,0.02,2220.0,2520.0,2620.0
34.0,14.1,31.2,7.51,0.448,0.189,1.5,0.773,2.8,15800.0,7430.0,21700.0,5340.0,269.0,139.0,1240.0,460.0,1.16,9.6,9.96,8.8,0.0542,1945.0,2055.0,2155.0
57.3,22.2,7.69,1.13,1.46,0.783,3.64,1.12,1.38,62200.0,27300.0,12500.0,1880.0,2040.0,1350.0,7040.0,1560.0,0.558,22.9,23.2,21.1,0.016,2340.0,2430.0,2530.0
41.7,29.3,12.7,2.28,1.15,0.176,2.24,0.97,3.5,36100.0,28700.0,16400.0,3020.0,1280.0,241.0,3440.0,1070.0,1.43,18.1,18.5,15.3,0.29,2450.0,2560.0,2650.0
